"ko","pval","chisq","n","avg_fc","module","padj","lpadj","avg_lfc","lfc"
"Myh1",1.40821767486971e-17,270.12130979914,44,0.833979157474912,"cluster4turquoise",4.68025286059637e-16,15.3297306826107,-0.261916766113494,-0.261916766113494
"Muc5b",0.1136233884091,117.329094871599,45,0.805223754448812,"cluster4turquoise",0.482167919697416,0.31680168811423,-0.312538361873019,-0.312538361873019
"Muc4",0.132861363674808,115.848596072153,41,1.10367957415632,"cluster4turquoise",0.542837493113497,0.26533016379424,0.142321382374755,0.142321382374755
"Muc3",5.76781131296533e-11,219.683343440159,45,0.736115420346136,"cluster4turquoise",1.11822028150872e-09,8.95147263507194,-0.441996101287531,-0.4
"Muc2",0.946172853384362,78.3612285488256,39,0.953651589771194,"cluster4turquoise",1,0,-0.0684658113798116,-0.0684658113798116
"Muc16",2.69306374278579e-09,205.619160423723,48,0.786873670163686,"cluster4turquoise",4.34737432763992e-08,7.36177296357513,-0.345796060244591,-0.345796060244591
"Mroh2b",0.0875643437525387,119.679092075202,48,0.776201654714171,"cluster4turquoise",0.38931178794404,0.409702446110908,-0.365496586209526,-0.365496586209526
"Mgam",0.353921726215212,104.707307230874,41,1.06217380732723,"cluster4turquoise",1,0,0.0870198588466796,0.0870198588466796
"Mdn1",0.00115386779696048,148.663217321866,45,1.39412375091855,"cluster4turquoise",0.00893062062031058,2.04911835940813,0.479358629292666,0.4
"Magi2",0.402748900557834,102.843424534271,37,1.16899971566773,"cluster4turquoise",1,0,0.225274578967256,0.225274578967256
"Macf1",0.99812155796038,63.9041040704107,46,0.944148935536898,"cluster4turquoise",1,0,-0.0829136382533215,-0.0829136382533215
"Lrp2",3.39005707178321e-56,509.733738604362,50,1.38028427068493,"cluster4turquoise",4.18989866215706e-54,20,0.464965421838704,0.4
"Lrp1",1.0796983029975e-61,540.822993999109,48,1.34894406523026,"cluster4turquoise",1.4724850994328e-59,20,0.431830527316603,0.4
"Lrp1b",4.30189602203048e-07,185.653041721141,49,0.777360041174532,"cluster4turquoise",5.56013031605573e-06,5.25491502948257,-0.363345144505049,-0.363345144505049
"Lama5",0.000708457178410605,151.31566638027,45,1.15766438471619,"cluster4turquoise",0.0058495785816575,2.23287542045682,0.21121706620799,0.21121706620799
"Lama2",5.96211435946147e-12,227.66821490109,48,1.28650228192782,"cluster4turquoise",1.29561331272913e-10,9.88752459816179,0.363454016048025,0.363454016048025
"Kmt2d",1.33783373312813e-72,601.414281497132,49,1.30194163100836,"cluster4turquoise",1.88969014804349e-70,20,0.380664770667611,0.380664770667611
"Kmt2c",0.630579561232179,94.7114226223275,36,0.917718390675826,"cluster4turquoise",1,0,-0.123876576001741,-0.123876576001741
"Kdr",0.0876074567054856,119.674774736208,44,1.24118788784512,"cluster4turquoise",0.38931178794404,0.409702446110908,0.311721523481814,0.311721523481814
"Huwe1",0.964292638639752,76.0553193784445,46,1.02435238487396,"cluster4turquoise",1,0,0.0347120985959074,0.0347120985959074
"Hras",0.715621941517198,91.5210466242699,44,0.894552682619476,"cluster4turquoise",1,0,-0.160761645907276,-0.160761645907276
"Hmcn1",1.15100729013303e-36,394.922616658776,48,0.652181724243755,"cluster4turquoise",8.5891204386342e-35,20,-0.616654081142788,-0.4
"Herc2",0.858785784299935,84.9520491957105,45,0.981606493510846,"cluster4turquoise",1,0,-0.0267833021570112,-0.0267833021570112
"Fmn2",0.94060251707806,78.9507685333136,40,0.917074281220101,"cluster4turquoise",1,0,-0.124889500862375,-0.124889500862375
"Flg",0.855109577669334,85.1586630963677,45,0.882000159989064,"cluster4turquoise",1,0,-0.181149177409092,-0.181149177409092
