"","Atf3","Nr4a1","Ccn1","Hspa1a","Fos","Egr1","Fosb","Zfp36","Btg2","Jun","Dnajb1","Rhob","Hspa1b","Klf6","Socs3","Jund","Dusp1","Junb","Sfn","Ier2","Klf4","Gm26532","Ubc","Nfkbiz","Ppp1r15a","clones"
"Csmd2",5.3109899721671,2.96587165043392,3.13730380446033,2.68498907947781,26.3442145761339,18.7157454746768,7.83534125243123,14.1304956123041,2.4844499261759,19.1814414041094,4.38571689279435,2.56897448117053,4.52365352530186,3.50836383447223,1.18700757963908,32.3630406666314,11.3387751621296,10.8621323143402,16.113044817009,4.73278956911913,7.24539217974761,1.67815472919893,10.713760290315,1.24534771813926,0.819562347056426,8.25266543245025
"Csmd3",4.60518246397121,3.36783713378298,4.64575925365575,2.24800897687652,29.1332477454934,20.4650457731471,10.850516917925,20.0327962763472,3.19129717595331,18.1933693227329,5.40434240713141,1.78667109019221,4.46374879460754,3.43140750221239,1.71018507310605,33.3637273847527,11.1751765009141,10.8382963564209,17.2381524292241,4.12045825555654,9.06752095794441,2.12716031764101,10.2693420381435,2.29778380211598,1.21743150767682,7.52356195605701
"Cttn",2.51496556712789,2.29505439667294,2.7286933024194,3.50792524629672,24.7260321324539,18.2708547209026,5.87240899148702,14.4783513507617,1.90077563285239,16.531626665118,3.12046294383623,2.63197839882511,5.72769314206007,2.67231702391064,0.901589715083295,30.2260575839929,12.1850359555739,9.25059807634377,16.791644152436,5.35887120831494,6.26577093340913,1.20031795707044,12.6610900191824,1.24123290262494,0.643704942633243,7.67948009950545
"Cubn",3.9391491246723,2.14681837757635,3.10741229596734,2.10313209859692,22.7434928740738,16.9419329958168,6.80057366171845,15.6083413157212,2.84208576911401,14.7296253811915,3.91685291829657,2.59302307214613,3.76053242447385,3.14754633601437,0.80110675013041,27.9516784024842,11.3271283202768,9.04297633494834,18.2473854582752,4.54265399629057,7.22081304394339,1.35891778970652,11.962179555591,1.69533118599446,0.913206280681178,6.89481776330794
"D630045J12Rik",2.62057041432351,1.82613713976083,2.62741021361043,2.15753744082722,24.4628891447061,16.495012707315,7.70705590757253,16.1874959551952,1.93217651641818,16.9287343469616,3.23037725888373,2.13282674097465,4.20007478740131,2.5076189156477,0.718956265755948,29.7277829295279,11.5757211845413,9.65149930974085,16.7165955295574,5.11071645964749,7.07025194226495,1.92164066365731,10.5520418814593,1.17758239746175,0.724822390437848,8.1548181090521
"Dgkb",2.83333963400492,2.32717149393814,2.50979760967538,1.35540909677561,17.6644298178871,10.7299810307874,4.85922912631303,11.9560966375613,1.03303499312166,12.320633564922,2.63428861924647,1.6019999046264,3.0639679541881,2.19464874066963,0.910876571545797,21.9952889924957,9.03795234172348,6.96374283172864,14.7743748092982,3.23203832097008,7.01021647006433,1.345951344427,9.20851668832119,0.909853796527021,0.513132680562019,7.08746284125034
"Dmd",4.1869730593274,3.20549997826789,3.45274080019051,1.74015083288159,23.7520469646687,14.5878594123731,6.89435280793194,14.2647588481818,1.78532908708893,16.7899226355449,3.85628887284679,2.44416354284355,3.90910056442519,3.5779532327168,0.975984139436769,28.9514056887921,10.0079386320971,8.78775366273915,14.3787521489173,3.81344987892061,8.2146667333563,1.78838226250959,8.91924072522442,1.11054479089138,0.595727659285956,7.95419631038687
"Dnah10",4.2568952479103,2.90306916882605,3.60056307306702,2.92747226296001,25.8803327073226,16.7039749924648,7.57018028455897,16.3479418555254,2.80650593627816,17.5167843962626,4.4686902651302,2.62556444039802,5.89229816307465,3.66326331133125,1.28086679855751,30.5806410406615,11.2373941352311,10.4513956293295,17.1831353290953,4.99807049956938,7.88755483583805,1.89355142098485,11.427398274802,1.61082203227005,0.815797559049153,7.99435343685886
"Dnah11",6.14358033975648,3.07944924233256,5.07164944622343,2.72245432746427,30.7708615959257,19.2752510024086,11.1204191321723,16.1205660508238,2.51082470207495,19.2577821092188,3.12194225615668,1.74331019408089,4.73900206667338,3.83766914685981,1.40130244071402,29.4068390055271,12.9127292671343,9.19017125741358,15.5348837144159,4.26440761282425,7.45868150178096,2.06507119697362,9.44501477521352,1.67087143808274,0.779008265740307,7.72109918870718
"Dnah17",3.08485338847575,1.8176968884395,3.02803922793022,2.1017574468033,25.7195003923633,18.4747314801683,6.74649066375746,15.3347768777468,1.7161159043772,19.5132532020799,3.58779268006203,2.61241258238009,4.37821617524431,2.81151754547889,0.888756028065838,33.6186014101671,11.9491971317388,10.6446425162017,16.6379588634487,4.27133702001286,7.54438277304685,1.64317472520758,10.0766038818611,1.0722409253949,0.839430994895783,8.44708322620965
"Dnah3",3.61367451848789,2.17193368966485,4.35117143004763,2.66158376482451,20.9158847858976,12.9734396098008,7.05342603011672,12.4783271317386,1.82016762112769,13.6732065101269,2.54801787721516,1.88455442526403,3.97255804013805,3.01207799578975,1.40912891381793,23.6113054948965,10.1031470618443,8.43521476195798,13.6843282524053,3.0879796802139,7.24628377152399,1.63423919557816,8.86140347007452,1.37533675531375,0.733620242597083,7.29462074889163
"Dnah5",12.2207053652384,7.09483430525628,6.41959201646005,3.80614518917057,40.1703071152673,24.7884384326594,14.3487932968857,19.4266545813981,3.86201461379749,21.2445931475802,5.75090005078996,2.90723446676896,6.59710894118691,4.93969735472593,1.76163301251729,31.1545379734056,13.7208393626605,10.6505049716055,19.4770474251241,5.11483800047917,11.4794518642609,2.63688812570123,14.5997668326302,1.68976591477866,1.30173089950111,7.91886323727459
"Dnah6",3.80566053249903,1.8596485456094,2.74509890274222,1.86117549567922,25.311719985542,17.1509761501361,6.77590151295202,14.9720148604513,2.1656088891415,16.3172788067078,3.04130235362481,2.6045300549617,3.0961476428406,2.27013584619506,0.881279200160639,29.1139623113432,12.214063834392,11.4566921552044,16.3637234967704,5.29562925893232,7.63537881845146,1.62499118842418,11.1201721334241,1.4333629528976,0.749872015222549,7.4178525148859
"Dnah7a",2.89923190168136,1.73006590389987,2.91407886268088,2.06540519309632,22.6669009382913,18.2944432465853,6.01764569987207,12.1638947541912,1.80079363906234,17.1951548416138,2.62737058459295,2.18348750629102,3.80111058865472,2.86346282596972,1.22598476454841,31.626111138039,10.934085188566,9.40296945025791,15.5175924891677,3.8950053909398,7.36231201534969,1.33006116903174,10.2308434077441,1.18646919607054,0.696322217087834,7.17990909001493
"Dnah8",4.03839814594588,2.33368688360029,2.62910635370053,1.71455394492747,26.3577608018683,17.8966086366206,7.85149856346022,15.6900642048405,1.93765958580483,16.0915725554607,4.55665118812605,2.34016833905605,3.26584426041669,3.60114640715042,0.826304719610335,28.688777589674,10.2708410932456,11.1774419543104,16.8703697746321,4.78845765633588,8.88517537603376,1.80500356893661,10.0649144266826,1.58444831387506,0.654740489689827,6.7279204545632
"Dnah9",3.11317705866782,1.90803781040317,2.62920018651902,2.66307039516328,23.0935884471524,16.6885554168588,6.7247702776081,15.1118273170285,2.76976468632795,16.1172884133216,3.41881332528218,2.48793246591081,4.29736522229298,3.1650837914197,1.28745019928315,28.9798332936242,11.2168315781001,10.0761598425264,16.2836175089417,5.00507810796905,6.93017173541471,1.5550027149841,10.9897026235097,1.13184161743673,0.722984105332118,7.85798099512757
"Dscam",2.91333057427138,2.4581337198446,2.23223708415758,2.27082189485,22.4345184365379,18.4907620730233,6.79684841674406,13.8475323580244,2.10158570312927,16.5688225114048,3.91387715874304,2.3166863374484,4.48068509514689,2.63778038368431,0.949812094378688,29.3586572890803,12.319462611255,10.2188350022984,18.2871508726584,4.68082626990328,6.83681438346374,1.38155460179899,12.9390727047159,1.48600081527263,0.957994841798948,8.71080643369935
"Dst",2.92631423545424,1.72211672631924,3.64935596354798,5.27284439388922,23.2442068066104,17.9018677851105,6.36654054097682,16.5039018607938,1.57544689511695,16.5723024173063,4.33897786455545,1.56314597064512,6.96921662476147,3.19205782142555,0.718042859713539,27.4819951144964,9.33818564242867,8.40428105268388,14.1659697668506,3.82172527343799,7.51693424120413,1.52655463733804,10.3967055460817,1.22517495450949,1.20801972692809,6.4757334309664
"Ep300",2.86048303945873,1.99811719448088,3.16794327139796,1.76527123236504,20.7503774901179,15.2946199118779,9.27016495722002,13.034521024101,2.26008450775829,13.9269862932207,4.24687807367737,1.3105253421811,4.01171262806819,2.7711722331472,1.29083198755376,24.9219842372525,8.83790426429857,8.20888214139024,14.746841953322,3.41723207123174,7.01191225905204,2.56413745804725,12.2297227976293,1.5809502221837,0.723299224350569,7.18982455888002
"Epha5",4.10272331244281,2.68875045727099,3.76025574681175,2.52419016241625,27.7831446293525,19.416592603349,8.53738008744262,16.1591589581315,2.41270360105429,17.6237529310286,4.01995870592541,2.17994084099312,4.32450782920491,2.77336375898821,1.42135877732385,30.5852135472581,12.5161937990524,10.0501798720094,19.0405224284315,4.52305294269957,7.54953555908167,2.00112478583841,12.0800099865048,1.42958576243937,0.924277041655104,8.38801728534514
"Epha7",5.09960237407146,3.68619455787889,2.91761345798745,3.54033541476267,29.0466251535804,17.335500841663,9.1196571356615,18.6107785069475,2.48427054701286,18.328096092572,3.97503241351168,2.49665315630435,4.25673845430031,3.21107034157973,1.51537876054692,32.67014035734,11.6386792210277,10.2933226498439,18.8383122736444,4.55733616078986,7.667243086934,1.64833885539368,11.298686783903,1.51111651282359,0.828566290884099,7.70043971814109
"Erbb4",2.41613775379102,1.55364751909384,2.51489034745206,1.61770667160222,22.0625745868601,16.2755325886241,6.40067481513104,13.5104984886198,2.08069208005123,17.8088803920198,2.81523809205917,2.52819199923855,3.44075893923319,2.69864144856063,1.07000840159993,32.048385343312,11.1454407937309,10.5255309225309,14.5107232601086,4.35975967939225,5.96360067372587,1.63537180309645,9.49076858480146,1.21200036756945,0.768391527900176,8.94251450533924
"Erich3",1.64593864782651,1.09364491379928,2.89229351416966,1.33562189758846,16.2374946847134,9.76732016858201,4.69403004401028,8.86293483253514,1.26778204172598,11.6376545708702,2.29291807922775,1.61642732995456,3.00040227448173,2.57932724902535,0.520858598871774,21.5755250584192,7.57417155150966,6.40861698598485,13.2302568536909,2.66931806086974,6.51702841145847,1.33666064339063,9.02733354486688,0.939248451538302,0.45591971177906,7.83920378809694
"Fadd",3.90064873774009,1.68471800167116,2.45588433859809,4.30889272754188,27.2039536993285,13.9611530783327,5.87988836510286,13.8173859533052,1.98081846365492,12.7374099725886,3.07224500851336,1.974526818705,5.14464861668875,2.64552222709525,0.770761286005729,25.9392811465925,10.3622146523724,9.07961516488338,12.5468185324403,3.80637923157653,9.25588412267619,1.47199958729318,12.1157823689636,1.3164382478828,0.730771391045569,5.58496250072116
"Fam135b",5.8434453075546,3.06848775713235,3.66917810678655,2.41474652114115,26.6062210189261,19.6648747963963,8.05577539279597,15.2738901159686,3.18896082994639,19.8150606827544,4.49339997438114,2.82104352543223,4.4068550441766,3.17070213626427,1.26481481906966,32.6369935307806,11.9485300644964,10.1510978499995,17.3412865773403,4.47130440179105,8.0796146580895,2.02869416777735,9.16138247993208,1.47602007006481,0.666101144904746,8.5077946401987
"Fat1",3.17744843566352,2.63804363389053,2.90700784081877,2.19243006725253,24.5551684746515,19.8837683665846,7.2668390461171,17.5163782188272,2.77000055873625,19.0339861117303,4.17881918141622,3.2317460218444,4.53154214952447,3.05180249964251,1.11826170694533,33.1600839663605,14.4977642916762,12.1716843798511,21.2255998025933,5.89768587448658,6.97622312871181,1.55457864730023,14.3321929187623,1.3978227091136,0.796312276980647,13.1513337192917
"Fat2",3.57013059484497,2.13074612105713,4.91202809634683,1.58611196953054,22.9822668469046,14.3107122476333,6.58349900381085,14.112270034201,2.16587655258087,16.2409907372294,3.47676093817218,2.91947914695866,3.35500759797875,3.34537911463199,1.17731905398835,27.124785869816,11.6367191684596,7.77451927517682,15.2425696332608,3.96446835053758,8.27496278131084,1.80400199379384,7.46218884870686,1.16299280674289,0.633646611750355,7.98299357469431
"Fat3",2.91818859901207,1.75642059253465,2.3397607106778,1.94047960395404,25.7598615915695,14.5113932598748,5.99130167682343,16.3254403650985,1.92812979149609,13.7747691210817,3.01623204306755,1.94201397593699,3.66044559077395,2.77572388729111,1.2118233036844,25.673304974254,9.61305469783414,9.41850015919195,15.3511678317039,3.6724671126164,7.01687349746622,1.56077217903892,10.208694185998,1.27707587284515,1.19363401827441,6.8703647195834
