sgRNA	Gene	IgG_1_2	IgG_2_2	IgG_3_2	IgG_4_2	IgG_5_2	IgG_6_2	TNF_1_2	TNF_2_2	TNF_3_2	TNF_4_2	TNF_5_2	TNF_6_2	CD48_1_2	CD48_2_2	CD48_3_2	CD48_4_2	CD48_5_2	CD48_6_2	CD115_1_2	CD115_2_2	CD115_3_2	CD115_4_2	CD115_5_2	CD115_6_2	IgG_1_1	IgG_2_1	IgG_3_1	IgG_4_1	IgG_5_1	IgG_6_1	IgG_7_1	IgG_8_1	CD115_1_1	CD115_2_1	CD115_3_1	CD115_4_1	CD115_5_1	CD115_6_1	CD115_7_1	CD115_8_1	CD48_1_1	CD48_2_1	CD48_3_1	CD48_4_1	CD48_5_1	CD48_6_1	TNF_1_1	TNF_2_1	TNF_3_1	TNF_4_1	TNF_5_1	TNF_6_1
ctrl_sgRNA.18	ctrl	146	7	63	7	2760	2838	15	7	19	221	3516	1417	160	2	7	1939	10	275	15763	35	88	21	2873	33	7311	23918	996	5842	571	2710	518	278	23811	4401	32268	15433	3748	444	1294	88682	183	222	198	724	115	59	63	12971	65	2384	425	9261
ctrl_sgRNA.8	ctrl	12	17	14	2	11	1654	8	24	20	3	4797	622	4127	17617	112	218	62	2638	1050	106	1379	1	66	17	1256	18248	172	971	54	107	1729	8207	14537	868	65765	56748	1500	827	1090	245053	1787	118	323	1443	1779	272	321	2825	77	2326	230	2527
ctrl_sgRNA.34	ctrl	80	147	228	192	144	4	70	9	99	109	18024	29	5864	719	268	139	650	2077	1918	2	11	8	1311	251	61753	1316	513	6121	7109	2717	128	412	50869	1470	78226	25933	3065	686	81925	77948	2924	63	979	734	1468	30	426	8090	56	622	188	395
ctrl_sgRNA.5	ctrl	11	1	183	1	9	11	6	1	38	10	4713	13	31	19	16027	544	43	5334	1822	10	8593	323	29	347	78854	35685	2625	6239	596	705	65	313	10666	2674	1381	105856	3852	666	10947	116291	13809	346	136	1593	3007	51	191	5456	2655	5781	381	11021
ctrl_sgRNA.10	ctrl	98	353	231	234	9609	286	254	807	318	172	95011	1045	112	18	111	112	137	19197	475	253	1575	5	2086	133	15288	19645	987	14246	2915	9266	3127	14013	54036	29564	61607	18700	1048	832	60413	75169	2841	563	890	53340	2246	749	90	12268	429	8368	1102	1987
ctrl_sgRNA.23	ctrl	18	6	10	8	40	3926	38	24	679	2777	19769	56	8730	39	120	2743	75	16728	183	18	8	8	1338	47	49	5906	522	3217	340	2083	24	102	430	12533	9559	73486	896	110	40	5418	6142	140	76	597	19	2255	13	95	466	13	39	567
ctrl_sgRNA.1	ctrl	14	1493	444	142	33	6569	16	131	53	868	13166	478	338	768	247	346	22	3330	1120	29	3023	24631	340	117	201579	21443	2251	15266	3870	5667	943	70322	89763	13190	38304	278617	12384	6834	65753	1432101	120301	386444	363594	1829822	49629	19244	1616	12785	451	1165	879	7691
ctrl_sgRNA.30	ctrl	21	16	113	1	5	339	199	301	26	98	443	852	449	4	11	138	2350	7	9	4	2531	29	90	21	96715	9489	1157	11361	475	3082	39	5894	41557	447	5117	7895	5678	1297	1825	435435	1040	74	44	1810	672	20	6	2085	126	244	108	2468
ctrl_sgRNA.16	ctrl	8	0	106	0	63	12	80	42	258	61	66013	1247	16	10	44	12	85	8870	1207	27	19477	61	160	145	39044	14341	1700	2693	997	1035	278	58532	11392	27579	6035	11102	2878	1133	58834	233421	10538	6233	441	2246	1822	34	760	1847	37	414	65	1796
ctrl_sgRNA.36	ctrl	13	87	326	189	1234	97	19	515	33	20	89	2661	1821	1914	80	593	60	9557	3117	250	28601	102	945	75	2731	19592	624	9000	634	6877	436	626	12619	13974	13677	18191	4922	1422	18163	350870	151	251	174	4878	4591	1173	299	10611	281	1579	188	5258
