"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Csmd1",9063.90907369194,0.260822649863925,0.499791141305335,0.521863291099396,0.601765518803066,0.898157490750844
"Csmd2",12775.3589922699,-0.093770119414469,0.585075347766854,-0.160270159685202,0.872668264114028,0.933335041833185
"Csmd3",9031.10479197799,0.759047498920967,0.46287537452417,1.63985284311411,0.1010357678226,0.429939437542978
"Cttn",9111.04630822505,-0.145554891180339,0.607958242111339,-0.239415935336038,0.810783074651043,0.921504857958568
"Cubn",8860.19494017923,-0.7646421057082,0.672318869066946,-1.13732060914694,0.255404282334161,0.689875350426765
"D630045J12Rik",11653.8314362777,-0.882478323323442,0.442750139801451,-1.99317457859909,0.0462423337670819,0.399552318969309
"Dgkb",6711.82202914882,0.129072842394579,0.486131195573623,0.265510305797752,0.790616371797055,0.921504857958568
"Dmd",8235.50429192586,0.806457295034117,0.464905102446393,1.73467077644541,0.0827991353398316,0.424610950460675
"Dnah10",3256.63013212534,-0.0562538180119884,0.613118404201084,-0.0917503334209797,0.926896405723079,0.962522678010716
"Dnah11",9434.87301374048,-0.370697367823939,0.552429928594604,-0.67103056629644,0.502201057558491,0.849291194217397
"Dnah17",6662.97650518594,0.282987425289132,0.439723406824772,0.643557793142228,0.519862227017501,0.866437045029169
"Dnah3",8696.23897043906,-0.0208811131947607,0.495602804234272,-0.0421327583628647,0.966392865951196,0.970668395702487
"Dnah5",11805.0477123263,0.512405074051031,0.524901999346845,0.976191888559457,0.328969382133273,0.762604572175844
"Dnah6",9247.04079087788,0.126656543102682,0.527518463332432,0.24009878687955,0.810253674640632,0.921504857958568
"Dnah7a",8792.15802073723,-0.622082023817336,0.670071424268274,-0.928381663934791,0.3532096264419,0.784910280982
"Dnah8",2803.73576710868,1.26326185224695,0.592746704782268,2.13120012655487,0.0330726586011181,0.330726586011181
"Dnah9",8526.67483471454,1.04354397417925,0.585906844967453,1.78107489807055,0.074900215875358,0.424610950460675
"Dscam",12017.3164272645,-0.956468443073905,0.578200734832405,-1.6542151980335,0.0980837959540494,0.426451286756737
"Dst",4270.77694684259,-0.391293467712301,0.699805105285748,-0.559146346256685,0.576061846853659,0.891300677446295
"Ep300",3026.35129346886,-1.02842804703277,0.639614998628249,-1.60788607089951,0.107860133040496,0.441481808264751
"Epha5",10847.6044778245,0.423699102338642,0.520031247956403,0.814757005475493,0.415211415781914,0.81414003094493
"Epha7",10254.1221562621,0.693274683919635,0.710429869492597,0.975852386970702,0.329137619800761,0.762604572175844
"Erbb4",5899.07086587461,0.333767294835108,0.589834878575432,0.565865646401282,0.571485116404822,0.891300677446295
"Erich3",8384.86735069937,-0.0340508179170578,0.598713379775372,-0.056873320469025,0.954646107084679,0.969183865060588
"Fadd",4293.89572133136,0.63695215711526,0.741288677044483,0.859249812980805,0.390202706352867,0.804541662583232
"Fam135b",11774.5223650106,0.666197884494445,0.48442471141856,1.37523513724886,0.169058558171306,0.563528527237687
"Fat1",121323.784804004,-1.23742427176006,0.492046453787503,-2.5148525352333,0.0119082180851011,0.132313534278901
